dateid,categoryid,countryid,totalsales
40,2,41,35.1489713240824
40,1,9,46.660986014033796
41,1,50,53.990777089056785
41,4,6,74.32516749829595
42,3,54,44.58825782044285
42,1,50,48.45611827025769
42,4,23,37.67622315875252
43,4,31,52.592369386405466
43,2,50,42.38949780927409
43,1,5,55.35923648178124
43,3,2,48.717536607162316
44,4,20,51.03823363819855
44,2,3,69.180981737935
44,1,55,33.049731039077315
44,2,36,48.28553180060889
44,2,30,52.68506851664765
45,2,45,25.225968638682765
45,1,52,47.933100925626086
45,1,38,61.30527453606693
45,3,46,44.25915880582197
45,4,40,57.80937949284454
45,2,22,50.12231468691168
45,2,46,60.97264420084629
45,4,24,60.67412099900952
46,2,32,47.233078509274236
46,4,6,43.30732530398105
46,3,22,65.68815473637284
47,3,22,71.11879515651418
47,1,51,58.058222467894225
47,4,43,50.42142050567772
47,1,21,42.07450956084456
48,3,18,44.92061831480099
48,4,30,50.85327224317793
48,4,21,36.37934736233757
48,4,7,69.22983161566667
48,4,41,55.72442331604729
48,2,4,56.859202164135276
49,4,47,39.49481342130946
49,3,9,63.19594668312705
49,4,26,50.95010677107124
49,1,22,46.382878826344076
49,4,27,60.346651328087916
49,1,14,62.34530860633225
49,1,39,44.94990383569766
49,2,47,47.34611118756172
50,3,31,41.78834684346295
50,2,4,46.582237485560945
51,1,2,47.2396873966612
51,4,47,28.51324816704347
51,4,4,58.65546020829454
51,3,7,51.76094543532859
51,3,27,60.45104470723031
52,3,26,42.63822524496901
52,4,45,45.56354911631067
52,1,8,45.61466291901078
52,4,12,49.27219785727051
53,4,5,45.636525008730075
53,1,22,42.08019716244433
54,1,43,46.18287350697464
54,3,43,48.308072856376654
54,2,7,58.5841845319644
55,1,24,67.4816509746185
56,4,16,56.15996922809824
56,1,35,55.96692221674329
56,3,55,61.72782122288154
56,3,43,53.97259291578358
56,4,25,57.442637153339625
56,4,27,46.33440166471643
56,2,47,50.329589914123474
56,2,38,55.827064414944886
57,2,25,65.32668223624245
57,4,39,51.259626147456785
57,1,13,51.99756743284025
57,2,29,63.905442222286254
57,2,1,54.88076054520271
57,3,24,52.51722075031787
58,3,19,58.73545889676358
58,2,51,54.026105339991034
58,2,47,56.66435932416394
58,4,45,38.036524437699285
59,4,46,38.669151839959056
59,2,19,50.32305586102578
59,3,40,48.2695925285854
59,1,18,47.04039636657607
59,3,38,38.218964995735504
59,3,3,49.83889895735794
59,4,46,49.735788261661334
59,4,22,34.48821641606216
59,1,37,49.193336807300724
60,2,54,45.15688573504751
60,4,52,45.42101310499257
60,4,40,46.719902684070384
60,1,1,59.72058984007336
60,1,54,43.93646314801733
61,4,47,54.50637950062813
61,4,7,48.91556451939504
61,2,7,67.52044441433588
62,1,1,56.41590005247274
62,2,20,52.55785374702896
62,1,29,55.7005830833729
62,1,50,65.32716551720627
63,4,18,31.684383884592197
63,3,37,51.10574163738635
64,3,24,44.14656344641085
64,3,9,39.14021041392966
64,1,24,37.439034611288214
64,4,23,57.18039174911807
64,2,36,16.331174843460843
64,2,32,67.87402120017572
65,4,35,52.66940064816725
65,1,11,60.007666759301586
65,2,39,48.64947419169514
66,4,30,38.904531288403916
66,1,55,72.56104019944061
67,4,45,52.020301345600615
67,3,8,60.56685707888063
68,2,14,57.2040341539265
68,2,54,66.23263815081451
68,4,46,59.15350646892015
68,4,52,45.18995318663487
68,2,40,41.02348945235496
68,3,35,42.433893040462955
68,2,17,46.9938573464327
68,1,23,67.7156684384404
68,1,40,52.694068569514535
69,3,23,53.11434902827781
69,4,26,37.753463016623236
69,4,5,39.442278340057904
69,4,14,27.099206103801457
70,4,26,66.08986529899131
71,1,39,61.781378775888
71,3,35,55.61342974507586
71,2,7,52.07124200170926
71,1,37,62.25529532409064
71,4,33,57.44927571783672
71,4,1,63.70924214012269
71,2,20,41.11877042574431
71,4,43,66.22452223271668
72,3,5,37.982117051200355
72,2,52,51.47099468103446
73,4,14,49.27910108692116
73,2,11,50.094019434221714
73,2,48,46.9610432805459
73,4,27,44.10430133208121
73,3,23,60.07291225611566
73,3,5,55.30852406315691
74,4,22,46.9966207018226
74,4,38,52.5326986338724
75,3,40,38.63325412913423
75,2,9,43.877333947751254
75,3,4,49.93478045943331
75,3,46,47.24114753149664
76,4,16,50.18659763905312
76,4,3,49.56231440335326
76,3,55,44.798213176482136
76,4,42,39.20719895722338
76,4,50,42.32046917597252
76,4,18,54.157826211528665
77,2,41,58.14866829537247
77,3,40,45.074989688884926
77,3,32,44.97317132874967
77,4,32,57.50363659797245
77,1,2,62.08917387614471
78,1,32,48.85619965970948
78,1,53,34.87369793926689
78,1,39,31.367084380348174
78,2,36,57.56791787552377
79,3,23,46.128831480176224
79,2,39,56.799529940849766
79,4,17,43.8995192661007
79,1,29,53.573420295973925
80,3,26,53.029276117500146
80,1,47,49.22083810029602
80,2,12,43.078210763428224
80,2,46,57.16225132437821
81,2,13,35.045698258678485
81,3,52,36.83511741493973
81,1,54,56.82268372479242
81,2,8,43.66580801249813
82,4,2,58.68429115825643
82,3,54,57.4636021374724
82,1,26,53.108724944418576
82,3,41,64.07746203278137
82,1,17,48.816044877771034
83,3,28,68.45723801447042
83,3,45,32.75528050182851
83,4,47,44.41912852751091
83,4,14,58.49402635253681
83,2,18,45.32871805231896
84,4,51,54.745317311638885
84,4,44,38.34411153961663
84,3,1,40.36008704910979
84,3,31,60.569583680325096
84,1,38,31.951722825562186
84,3,4,48.31447002644011
85,4,38,70.65413786763854
85,4,4,64.60833698430937
85,2,18,60.952900588716204
85,3,9,58.70458287809055
85,1,46,54.82497335704241
86,1,27,46.87784551724849
86,2,26,49.21148753879652
86,4,52,52.808100457270335
86,2,35,41.89157990025956
86,4,42,50.75704930066045
86,3,35,38.917229743981764
87,3,48,28.226595457118357
87,3,35,42.162830274261545
87,2,45,55.460346287527656
88,3,41,49.99967450395759
88,4,49,53.660093812254864
88,2,51,57.66370915548553
89,2,1,51.47577202429483
89,2,48,53.234679686265025
89,3,38,72.3598817664559
89,3,41,56.33404116210953
89,4,12,52.14606592689287
90,4,22,53.69618281665987
90,3,17,39.439885385839425
90,2,48,43.92235503314449
90,3,55,55.02157905771566
90,1,54,57.970970089528656
90,3,5,61.119505027349746
90,2,26,38.6348153837328
91,3,44,32.35362505377125
91,1,49,41.50985522213384
91,3,45,59.271763530565444
91,4,20,45.19712379156038
91,1,2,53.853260494217004
91,3,26,38.13494736711833
91,2,35,60.77575806150138
92,4,49,65.26556855786407
92,4,7,51.54016085568528
92,4,36,57.913273917066036
92,2,25,52.22144439489625
92,1,13,42.0084821690651
93,4,39,39.74699136370218
93,2,33,57.2874902552692
93,2,36,53.15935634604181
93,3,12,45.65737007709465
94,4,54,53.88916243847347
94,3,41,70.73900073466874
94,4,34,54.62881575499481
95,4,50,44.316928278097926
95,4,26,44.139400093223976
95,1,15,48.246053742799475
95,4,3,58.39078733992217
95,1,8,50.20200247882774
95,1,41,36.350458525205596
95,3,28,36.047094210536955
96,3,53,59.411723391844795
96,3,13,37.05563964446648
96,4,10,57.47212958999094
96,2,49,34.876409588611565
96,3,23,64.94985842700926
96,3,29,49.33128392571605
96,3,1,62.94600972053141
96,3,52,42.761580166470246
97,4,17,42.33331281636267
97,3,44,41.145208896475495
97,1,9,63.92513039427815
97,2,14,46.72800039308057
97,1,12,54.38500199219979
97,1,7,58.87657803427416
97,4,33,42.85166552089353
98,3,50,55.6508981297194
98,2,4,43.08833095342486
98,4,3,52.95323140592314
98,2,45,49.36770525375167
98,4,1,45.55113816774775
98,2,30,42.10022282332909
99,4,33,47.4306899594535
99,4,26,47.68921480225475
99,3,7,30.642461980081993
100,2,13,45.7882332535772
100,4,9,69.60639466649059
100,4,29,54.675490561622766
100,3,36,57.4021970923135
101,1,18,31.93353266144956
101,2,23,42.997518938087694
101,3,7,30.475748679913718
101,3,21,56.934199365908114
101,2,29,63.16123027401568
101,2,40,46.83958744832587
102,4,42,61.404871379780104
102,4,40,46.41792502219693
102,2,14,53.32440006928625
102,2,49,46.86590882586633
102,1,30,33.9730750863818
103,1,24,48.632146230637595
103,4,34,41.11312277785693
103,3,50,37.74531895968994
103,3,8,51.56095056174007
103,4,8,65.69784676468066
103,1,40,60.19582283877533
104,3,53,57.00071291677199
104,4,32,39.942319361948044
105,2,5,39.02728986618568
105,1,46,50.26650397466125
105,2,44,48.5936871380344
105,2,17,63.694745761837396
106,1,43,52.97722703411293
106,2,14,50.05210485859519
106,1,48,33.58799839315074
106,4,45,46.6675926969407
106,1,42,50.42593845889667
106,3,34,57.088215917702165
106,1,40,67.14885074132943
107,3,27,51.03149078067118
107,1,27,38.68084487529174
107,3,20,52.23692192727556
107,4,33,38.5523573081299
108,1,13,64.54975383062582
108,2,37,60.46474573197338
108,2,48,25.30291293420264
108,1,54,39.63427513569178
108,1,41,53.18009098612396
108,4,16,48.84802279035221
108,4,29,45.50688068691463
108,4,30,48.58580074038327
108,1,12,47.522659753523044
108,1,7,40.66888025420225
109,1,34,41.062560843022936
109,1,31,54.55475008789149
109,1,14,59.07857450974619
110,4,50,41.63707942535514
110,1,54,44.512544765117354
110,4,21,36.15603155488109
110,1,21,45.42010013804292
110,1,19,70.68773883344983
111,3,35,27.227661932570225
111,1,43,53.244030164526635
111,4,50,48.45394084125067
111,1,46,56.433134797242815
111,1,1,36.14839638967372
112,4,25,32.45393225386171
112,2,46,60.39786960761949
113,2,46,53.50459259914237
113,3,32,53.5536772862705
114,4,26,30.394074033413606
114,1,17,44.44784404001662
114,4,31,41.69460166726458
114,4,53,33.98450817750167
114,1,13,29.700836127468207
114,3,30,39.732496224861336
114,2,24,48.236913668521765
114,1,42,56.351442861624875
114,1,44,38.260894608947936
115,3,40,45.02142117061126
115,3,6,53.77926460652757
115,4,35,61.85531689980354
115,1,20,46.97553535799032
116,1,7,40.77299927376572
116,3,33,56.651367256809465
116,3,25,40.899827940944256
116,1,18,36.37985878731252
116,4,21,38.55123203528209
117,4,32,32.14371206792866
117,1,22,53.8449202474293
117,2,37,38.691007020005586
117,2,28,47.483111784118684
117,4,38,54.67630778814975
118,2,32,47.92358302372875
118,3,33,51.226311917043525
118,1,32,35.687216353480146
118,2,11,78.77404160623021
118,3,38,52.73448445265862
118,4,5,49.01463808202073
118,3,10,43.7870258577007
119,2,41,56.19648712941235
119,3,3,43.47542936698359
119,2,9,40.89914640999049
119,1,25,56.975687498484426
119,1,6,51.8487599526528
120,1,36,31.566064627995548
120,4,20,59.24203148121842
121,2,30,65.24092038763817
121,1,18,37.965160820717884
121,4,35,42.22615102381492
121,3,47,48.13070906448346
121,2,34,63.72859417321938
121,2,5,54.18776655300437
121,1,30,52.800760618333804
122,2,53,55.61123352429303
122,1,52,76.07051320136428
122,3,45,37.16612337146106
123,1,45,45.98333284791126
123,2,14,71.79962877862494
123,2,32,45.494825093981824
123,3,30,46.06753087848052
123,1,11,37.12078007916691
123,1,52,50.90954325677373
123,1,12,62.88737084974879
124,2,27,53.67614347289462
124,2,8,55.386096891209085
124,4,50,51.70011066299497
125,4,16,51.580951327669894
125,1,40,48.98704191918961
125,2,50,36.90994422886594
125,3,53,45.978747535214424
125,4,2,62.76303686610008
126,4,45,43.48242647466689
126,1,54,51.18159274665181
127,1,28,54.67185647817027
127,1,25,46.33501054404348
127,4,13,44.4380621833337
127,4,1,54.59132110929148
127,4,28,48.28088291156418
127,3,18,58.65245145432371
127,2,2,64.0273132412172
127,3,48,46.56169036787122
128,3,26,46.64597196105295
128,4,18,26.658975148867082
128,3,37,55.55305003852983
128,1,7,45.90185269216572
128,2,55,53.6365163680368
129,1,36,39.189256982595495
129,2,13,71.79612044484293
129,2,46,43.05044431226724
129,4,20,44.42565939937541
129,4,18,40.36227854908403
130,3,16,39.546667113953966
130,1,51,57.00034829991675
130,3,16,36.492719720101555
130,4,16,42.264682367172284
130,4,46,43.14770008984762
130,1,43,47.55284307341032
130,4,29,36.90365545759076
131,1,8,48.0254757267188
131,2,50,58.699415238682995
131,3,17,60.81301479477829
132,2,25,47.075785761382406
132,2,18,60.199608527992524
132,4,37,46.81644601449851
132,4,39,50.0500305215866
133,2,8,42.91360283547803
134,2,53,64.44175285823272
134,2,47,34.31630722099517
135,3,42,43.64551081102574
136,1,39,42.615160988615614
136,1,40,56.69012678207512
136,3,29,53.54099676593203
137,3,32,68.49605111614315
137,4,22,49.128185025348486
137,1,52,26.516609059076263
137,2,6,52.88367259061144
137,2,53,41.99605450082658
138,3,16,45.74691222294893
138,2,8,46.74895008370559
138,4,42,40.574580488721026
138,4,33,51.24057657666958
138,4,5,32.60426421372783
139,3,22,41.065765967274956
139,3,10,61.63355132147806
139,2,24,49.10710315987898
139,3,28,47.718338209562596
139,1,46,40.98107383669878
139,4,3,47.916876858110996
140,3,18,56.390673266234806
140,3,18,51.81076640051626
140,3,30,45.91215515530439
141,1,10,48.95391119914707
141,1,46,40.140228046615555
141,1,37,40.60598977485492
141,2,47,45.396849374348314
141,4,22,59.90307480105313
141,3,44,37.1682305597595
141,3,50,50.50957823304153
141,2,52,43.84505472494961
142,2,34,59.57750023390505
142,1,31,51.55659068495577
142,4,47,51.91045466687389
142,2,48,59.317702121177106
142,1,14,59.91305100378112
142,4,5,29.039566637795527
143,2,47,45.96457268242159
143,1,12,52.105455323463886
143,4,11,45.53279395931529
143,3,44,64.18072068195409
143,1,54,41.21306504998914
144,2,22,53.72130246536298
144,2,8,58.5464008276699
144,4,9,38.02033372116877
144,1,18,41.21865515474012
144,4,23,63.59287686216484
145,4,54,38.52982032803852
145,4,27,39.7646513087072
145,3,33,38.00445057929337
145,3,45,47.710769158927384
146,2,50,58.03255720324829
146,4,48,42.5193871171959
147,1,7,64.7801488947677
147,2,44,44.17081436081109
147,4,52,48.6515948739018
147,1,51,52.25092777968701
147,2,48,36.11539573683607
148,1,15,26.75508651845128
148,3,6,63.05025677795667
148,2,41,46.202383144008266
148,1,46,63.06461077811394
148,2,6,46.37028511157601
148,1,47,42.79856978903383
148,2,12,33.57708758942354
149,1,52,46.727966643071895
149,2,29,45.30399460089019
150,1,4,57.52984292908264
150,3,34,36.6523809920573
150,3,40,71.49136436929405
150,2,1,39.27723817729987
150,4,16,50.70528311513719
150,2,48,44.60099114065004
151,3,31,53.565555510233274
151,3,50,40.465323560251875
151,3,51,50.80738619405619
151,4,18,52.35900402895809
151,1,17,52.05186100995997
152,1,22,52.353360857305695
152,2,25,54.01530343472902
152,3,24,46.212651665649936
152,1,3,53.84189736308883
152,2,44,40.44756064487911
153,4,2,41.114445949521
153,1,51,22.198754246756312
153,2,6,41.74322646235263
153,2,52,50.4252443017432
153,1,43,35.44453692451326
153,3,47,43.33759025274089
153,4,9,52.46071720965725
154,2,16,69.12087726875242
155,3,22,40.51757355676192
155,4,39,40.491577763778395
155,4,41,52.258917802237725
155,1,52,49.47694816888316
155,3,20,60.70630895708212
156,3,29,63.998858666171714
156,1,53,61.48876552744763
156,2,20,65.22656398310649
156,2,46,42.447424909066235
156,3,50,26.586705995085808
156,4,40,45.08972771896666
157,2,30,41.21758830897679
157,2,20,51.64888144765572
157,4,17,54.8511262234315
158,1,50,39.95289609614505
158,4,5,52.014426254852985
159,3,37,54.35533392178864
159,4,43,82.33954796215059
159,4,52,56.700103579675215
159,3,46,34.329570099858756
159,1,55,45.516932676338236
160,1,32,56.277660581677665
160,2,18,59.15668578632469
160,3,47,36.95868019108534
160,2,21,50.880070409426395
160,3,31,69.77496525596383
160,1,35,48.89488565213713
160,4,36,47.744773882881674
161,4,37,70.0693274426022
161,3,44,56.27166082173892
161,3,15,31.615578095062745
161,4,16,34.54580840303041
161,4,18,57.28081090037661
162,3,34,53.52830173010811
162,2,35,46.33934267420835
162,2,11,38.98742496989453
162,4,6,59.756530746437136
162,4,40,47.64979936549435
162,4,10,47.83494248838305
162,1,54,51.91758495986299
163,3,32,31.562645078299127
163,3,8,35.513138014524145
163,2,55,56.33856245633304
163,1,49,63.75424893603011
163,1,48,63.12103828824383
164,2,25,47.81685589531082
164,2,3,71.46770720262636
164,4,31,39.47110109890655
164,2,40,59.282448324298976
164,1,46,64.36871689194999
164,3,50,53.97277178879493
165,4,10,37.46037181478453
165,3,33,36.83214577667336
165,4,3,44.52627919324594
165,4,33,72.79562371960196
165,1,35,61.26365383520401
165,4,15,54.019185490808354
166,1,53,50.081886139784025
166,1,52,40.28329573681354
166,1,18,44.54386392576534
166,1,35,47.39114845051742
166,1,34,55.33380586245169
166,4,6,47.554886232795255
166,1,17,44.902239695912066
166,3,29,53.7861903010547
167,4,40,38.297215099256974
167,4,27,64.5414388248419
167,2,10,57.9150122142602
167,2,52,58.730824814093985
168,2,8,61.464166150007344
168,4,4,41.47453993409209
168,3,44,62.96565098310286
169,1,41,34.846251735131524
169,1,17,70.80838495100086
169,3,35,60.15095736494654
169,1,11,56.04354577427412
169,2,43,57.80917694883294
169,1,34,30.844806237392564
169,2,26,67.80445041614419
169,3,26,39.47566334710434
170,1,25,27.157646123697937
170,2,24,51.531280308553804
170,1,47,45.82159980366255
171,3,10,45.24579870721633
171,1,41,46.39266984686242
171,1,1,43.44341480661067
171,4,49,44.01105802850611
172,1,33,33.05546159128993
172,1,8,56.94474491672523
172,4,45,51.43621218289046
172,3,1,40.284713068136554
173,3,11,50.67162546508509
173,1,51,47.61465087609526
173,1,21,56.35362074040848
173,2,5,82.62853826073928
174,4,42,59.74842730325763
174,4,12,37.54193670365581
174,2,54,52.260176839795015
174,1,36,57.25483017685111
174,1,8,50.07345533671953
175,4,18,45.91138399502272
175,3,51,41.14165624929277
175,4,50,65.95433018343867
175,4,46,51.12444666835059
175,4,2,44.56267855793856
176,2,13,52.22573801468873
176,3,11,64.23822066500647
176,3,42,57.07078512305102
176,2,30,47.06427513097238
176,2,19,42.56148499690292
176,2,46,42.59055646474387
176,3,2,50.343433129599724
177,2,9,52.42322904553175
177,4,42,63.69223925810037
178,1,45,71.41098596795625
178,1,44,40.50483510867779
178,4,52,56.682289587643446
178,3,55,46.96766350627335
178,4,17,58.49700769925128
178,4,21,53.221148715735715
178,3,14,46.577984675493056
179,4,50,34.81450558800946
179,2,41,36.067664535587596
179,3,38,66.07547882110178
179,1,17,52.753690781504
179,4,13,54.76046784290923
179,1,13,45.6462187860261
180,4,42,51.344564687690664
180,3,2,39.088977089637126
180,3,35,21.284781041904132
181,1,30,56.133957824757275
181,4,12,44.08680513319649
181,1,1,56.63257340488005
181,1,27,42.98045410794106
181,1,32,47.317697664097764
181,4,33,61.30604401228314
181,1,50,31.46958356884388
182,2,50,52.71745753121157
182,4,23,47.40649487914416
182,1,4,52.06517719801661
182,2,18,42.41877700570342
182,3,3,53.0690506988322
183,4,39,51.77169976678813
183,2,41,67.30416287831784
183,1,47,47.46713235736718
183,4,51,49.97635257812489
184,3,20,47.94580605228499
184,2,19,60.140951609973
184,2,23,46.800217279262434
184,1,34,37.1851825041575
185,4,50,51.57822648825071
186,2,14,57.268223314302084
186,4,28,52.223141582771625
187,4,38,52.46392647381051
188,1,53,57.364167974423175
188,3,28,63.874856991585254
188,1,18,50.91154971869159
188,4,4,67.25597769523381
188,3,42,48.42227712501503
188,4,53,67.25665307328009
188,1,53,66.20020073492749
189,1,32,39.33555374112393
189,3,46,54.17476888970591
189,2,27,34.86389831491897
189,4,43,68.3109918169076
189,4,43,69.24573614433062
189,2,19,32.28543883785981
189,2,43,53.50534897530361
189,4,37,61.701561847426085
190,4,15,58.169687275421666
190,1,20,65.03627294436737
190,1,53,53.25354960750178
190,4,52,67.0329237441282
190,2,9,39.37981952733311
190,1,25,52.05535883979432
191,3,1,29.63585238020288
191,1,16,37.321099614530965
191,1,45,53.64645206330939
191,1,48,39.99735505306906
192,3,40,53.9975023873867
192,2,34,48.451512216309936
193,2,6,41.19691619672029
193,2,49,60.86520852671522
193,4,13,65.12156705933418
193,1,2,36.71418532919508
193,1,47,45.145662054942676
193,2,1,71.30599149934305
193,4,8,60.940054681467984
194,1,10,33.87515926105436
194,2,13,68.59293364375102
194,4,30,47.89918658259677
194,4,51,64.67094832293829
194,2,4,43.80144844070279
195,3,12,53.44299607753892
195,1,8,51.9278075498206
195,4,38,40.73456601807275
196,4,50,44.412860799640505
196,4,13,50.599076527116445
196,3,47,71.53144624808067
196,1,43,39.62722714809503
197,3,31,39.06559409091716
197,3,9,58.85414423017441
197,3,30,45.51064236854863
197,1,50,42.57501382216066
197,4,33,31.625744983783342
198,2,26,46.95791953749729
198,4,39,53.173736178866115
199,4,54,44.86869994535522
199,1,30,43.349759264966295
199,4,51,56.703338225344865
199,1,3,49.40166289198427
199,3,4,29.839334666935834
199,3,38,50.04570312136844
200,4,36,57.506810165460756
200,1,36,57.06682691171627
200,4,39,52.72092948784276
200,1,50,56.59504281580817
200,4,8,52.5475735364987
200,4,9,48.650047293910134
200,1,12,46.650558796038915
200,2,47,52.3034996907125
201,2,4,46.48541517394362
201,1,36,59.67893452055529
201,1,33,53.64222106269101
201,4,6,33.66479099836235
201,3,39,65.20721323022293
201,2,33,66.63805121268001
201,1,2,72.24149991318441
201,4,42,46.26884267467352
201,4,48,58.53567766160518
202,3,4,46.53794005071384
202,3,48,53.95726227857885
203,1,54,56.12783942814016
203,2,25,38.30741331973936
204,1,44,34.84068673768286
204,4,32,40.643307193339524
204,3,22,61.687520521858644
204,2,39,42.93869283700937
204,2,26,41.73400876824287
205,3,17,67.17868354343896
205,1,27,53.558275397103564
206,1,44,30.245292790203678
206,4,11,51.35402622164468
206,1,11,55.358069663201334
206,2,26,55.358963389573304
206,3,55,32.12355698931889
207,1,1,31.599599035137622
207,4,19,55.84307325432406
207,3,2,41.374476384538944
207,1,49,54.19087727112534
207,2,38,48.51485039930877
207,4,25,56.64039654339957
207,3,43,64.1690181174566
208,4,10,76.12634792651806
208,4,32,48.79414855726159
208,3,50,50.544904292228296
208,2,44,39.32757148298609
208,1,31,42.370432498694065
208,4,18,71.33553357889836
209,3,21,62.37275294147406
209,3,42,57.1442512014338
209,2,25,46.22944361369329
210,4,13,51.3098547768654
210,2,43,54.18467868688779
210,3,23,48.229479777293236
210,4,43,44.50456705534153
210,3,55,58.15628267735874
210,4,29,38.8540172968891
210,1,53,45.83505570179171
211,2,43,62.86567338159638
211,2,1,51.37560116376383
211,1,12,53.802656904220356
211,4,50,44.65430156484511
211,4,45,52.668302628790855
211,4,10,54.70441693711391
212,1,54,51.0866732814359
212,3,6,39.35949722493614
212,4,22,48.43252920876022
212,4,52,48.45386939032757
212,3,42,33.094768157786724
212,1,11,46.46418231603544
212,4,52,44.48591072255658
213,1,34,50.28430777503116
213,3,46,38.16845352077198
214,2,20,40.43827377133
214,4,41,50.013992812369395
214,2,51,49.43320445849487
