Date,Car_ID,System_Affected,Units,Model
"Friday, April 29, 2022",87110,Suspension,9779,Beaufort
"Monday, May 2, 2022",99110,Structure,9606,Salish
"Tuesday, May 31, 2022",132120,Structure,13626,Labrador
"Wednesday, June 22, 2022",147160,Suspension,14452,Champlain
"Friday, July 8, 2022",26151,Powertrain,3165,Hudson
"Tuesday, January 3, 2023",87110,Brakes,9679,Beaufort
"Saturday, January 14, 2023",99110,Other,1576,Salish
"Friday, January 27, 2023",132120,Lights And Instruments,2556,Labrador
"Saturday, January 28, 2023",147160,Visual System,4347,Champlain
"Wednesday, February 8, 2023",26151,Engine,9984,Hudson
"Wednesday, February 15, 2023",87110,Other,11581,Beaufort
"Thursday, February 16, 2023",99110,Tires,1806,Salish
"Saturday, February 18, 2023",132120,Fuel Supply,8673,Labrador
"Sunday, February 19, 2023",147160,Seats And Restraints,6935,Champlain
"Saturday, February 25, 2023",26151,Airbag,6390,Hudson
"Wednesday, March 8, 2023",87110,Lights And Instruments,10570,Beaufort
"Friday, March 10, 2023",99110,Airbag,2953,Salish
"Wednesday, March 15, 2023",132120,Airbag,2830,Labrador
"Saturday, March 18, 2023",147160,Suspension,9248,Champlain
"Sunday, March 19, 2023",26151,Steering,1615,Hudson
"Monday, March 20, 2023",87110,Airbag,7320,Beaufort
"Wednesday, March 22, 2023",99110,Structure,1058,Salish
"Saturday, March 25, 2023",132120,Engine,7626,Labrador
"Wednesday, April 5, 2023",147160,Visual System,405,Champlain
"Saturday, April 8, 2023",26151,Other,10335,Hudson
"Sunday, April 9, 2023",87110,Airbag,2813,Beaufort
"Friday, April 14, 2023",99110,Airbag,3346,Salish
"Tuesday, April 18, 2023",132120,Airbag,11300,Labrador
"Wednesday, April 19, 2023",147160,Seats And Restraints,11940,Champlain
"Thursday, April 27, 2023",26151,Powertrain,4273,Hudson
"Saturday, April 29, 2023",87110,Suspension,8687,Beaufort
"Tuesday, May 2, 2023",99110,Structure,8674,Salish
"Wednesday, May 31, 2023",132120,Structure,11331,Labrador
"Thursday, June 22, 2023",147160,Suspension,12429,Champlain
"Saturday, July 8, 2023",26151,Powertrain,2683,Hudson
