Postal Code,Date,Sentiment,Year
80002,12/27/2023,Positive,2023
80211,12/27/2023,Positive,2023
80204,12/27/2023,Neutral,2023
80221,12/27/2023,Neutral,2023
80002,12/27/2023,Neutral,2023
80219,12/27/2023,Neutral,2023
80204,12/27/2023,Positive,2023
80238,12/27/2023,Positive,2023
80219,12/27/2023,Positive,2023
80219,12/27/2023,Positive,2023
80211,12/27/2023,Positive,2023
80016,12/27/2023,Neutral,2023
80221,12/27/2023,Negative,2023
80238,12/27/2023,Positive,2023
80204,12/27/2023,Positive,2023
80016,12/27/2023,Neutral,2023
80016,12/27/2023,Negative,2023
80238,12/27/2023,Positive,2023
80211,12/27/2023,Positive,2023
80238,12/27/2023,Positive,2023
80234,12/27/2023,Positive,2023
80120,12/27/2023,Negative,2023
80120,12/27/2023,Positive,2023
80002,12/27/2023,Neutral,2023
80221,12/27/2023,Positive,2023
80211,12/27/2023,Negative,2023
80238,12/27/2023,Positive,2023
80211,12/27/2023,Negative,2023
80211,12/27/2023,Neutral,2023
80014,12/27/2023,Negative,2023
80002,12/27/2023,Positive,2023
80120,12/27/2023,Negative,2023
80211,12/27/2023,Negative,2023
80211,12/27/2023,Positive,2023
80238,12/27/2023,Positive,2023
80211,12/27/2023,Positive,2023
80219,12/27/2023,Positive,2023
80238,12/27/2023,Negative,2023
80219,12/27/2023,Neutral,2023
80211,12/27/2023,Negative,2023
80221,12/27/2023,Neutral,2023
80234,12/27/2023,Negative,2023
80238,12/27/2023,Negative,2023
80014,12/27/2023,Positive,2023
80234,12/27/2023,Positive,2023
80002,12/27/2023,Positive,2023
80234,12/27/2023,Positive,2023
80016,12/27/2023,Positive,2023
80002,12/26/2023,Positive,2023
80014,12/26/2023,Positive,2023
80016,12/26/2023,Positive,2023
80219,12/26/2023,Negative,2023
80238,12/26/2023,Positive,2023
80016,12/26/2023,Neutral,2023
80120,12/26/2023,Positive,2023
80204,12/26/2023,Positive,2023
80014,12/26/2023,Positive,2023
80016,12/26/2023,Positive,2023
80204,12/26/2023,Positive,2023
80238,12/26/2023,Positive,2023
80219,12/26/2023,Negative,2023
80204,12/26/2023,Positive,2023
80120,12/26/2023,Positive,2023
80211,12/26/2023,Negative,2023
80120,12/26/2023,Positive,2023
80234,12/26/2023,Positive,2023
80234,12/26/2023,Positive,2023
80002,12/26/2023,Positive,2023
80016,12/26/2023,Positive,2023
80120,12/26/2023,Positive,2023
80120,12/26/2023,Positive,2023
80120,12/26/2023,Negative,2023
80219,12/26/2023,Positive,2023
80014,12/26/2023,Positive,2023
80002,12/26/2023,Negative,2023
80120,12/26/2023,Neutral,2023
80002,12/26/2023,Positive,2023
80221,12/26/2023,Negative,2023
80016,12/26/2023,Neutral,2023
80219,12/26/2023,Neutral,2023
80238,12/26/2023,Positive,2023
80211,12/26/2023,Neutral,2023
80204,12/26/2023,Positive,2023
80014,12/26/2023,Positive,2023
80016,12/26/2023,Positive,2023
80002,12/26/2023,Positive,2023
80219,12/26/2023,Negative,2023
80120,12/26/2023,Positive,2023
80221,12/26/2023,Neutral,2023
80120,12/26/2023,Neutral,2023
80221,12/26/2023,Positive,2023
80120,12/26/2023,Positive,2023
80002,12/26/2023,Positive,2023
80204,12/26/2023,Neutral,2023
80002,12/26/2023,Neutral,2023
80221,12/26/2023,Neutral,2023
80238,12/26/2023,Neutral,2023
80238,12/26/2023,Positive,2023
80120,12/26/2023,Positive,2023
80211,12/26/2023,Positive,2023
80221,12/26/2023,Positive,2023
80219,12/26/2023,Positive,2023
80238,12/26/2023,Positive,2023
80014,12/26/2023,Negative,2023
80211,12/26/2023,Positive,2023
80221,12/26/2023,Positive,2023
80219,12/26/2023,Positive,2023
80211,12/26/2023,Negative,2023
80219,12/26/2023,Negative,2023
80221,12/26/2023,Neutral,2023
80120,12/26/2023,Positive,2023
80219,12/26/2023,Neutral,2023
80221,12/26/2023,Positive,2023
80016,12/25/2023,Positive,2023
80238,12/25/2023,Neutral,2023
80014,12/25/2023,Positive,2023
80221,12/25/2023,Neutral,2023
80002,12/25/2023,Neutral,2023
80016,12/25/2023,Neutral,2023
80014,12/25/2023,Positive,2023
80204,12/25/2023,Negative,2023
80219,12/25/2023,Positive,2023
80238,12/25/2023,Negative,2023
80211,12/25/2023,Negative,2023
80002,12/25/2023,Positive,2023
80238,12/25/2023,Positive,2023
80204,12/25/2023,Positive,2023
80120,12/25/2023,Positive,2023
80016,12/25/2023,Positive,2023
80120,12/25/2023,Positive,2023
80234,12/25/2023,Positive,2023
80204,12/25/2023,Positive,2023
80234,12/25/2023,Positive,2023
80211,12/25/2023,Positive,2023
80002,12/25/2023,Positive,2023
80016,12/25/2023,Positive,2023
80016,12/25/2023,Neutral,2023
80211,12/25/2023,Positive,2023
80211,12/25/2023,Positive,2023
80211,12/25/2023,Neutral,2023
80120,12/25/2023,Positive,2023
80120,12/25/2023,Positive,2023
80014,12/25/2023,Positive,2023
80219,12/25/2023,Neutral,2023
80221,12/25/2023,Negative,2023
80211,12/25/2023,Neutral,2023
80016,12/25/2023,Positive,2023
80120,12/25/2023,Positive,2023
80238,12/25/2023,Positive,2023
80120,12/25/2023,Positive,2023
80238,12/25/2023,Neutral,2023
80234,12/25/2023,Positive,2023
80238,12/25/2023,Positive,2023
80014,12/25/2023,Negative,2023
80204,12/25/2023,Positive,2023
80014,12/25/2023,Negative,2023
80219,12/25/2023,Positive,2023
80221,12/25/2023,Positive,2023
80014,12/25/2023,Positive,2023
80120,12/24/2023,Positive,2023
80016,12/24/2023,Negative,2023
80204,12/24/2023,Neutral,2023
80238,12/24/2023,Negative,2023
80120,12/24/2023,Negative,2023
80211,12/24/2023,Positive,2023
80219,12/24/2023,Neutral,2023
80002,12/24/2023,Positive,2023
80221,12/24/2023,Neutral,2023
80002,12/24/2023,Negative,2023
80120,12/24/2023,Positive,2023
80211,12/24/2023,Positive,2023
80211,12/24/2023,Negative,2023
80002,12/24/2023,Negative,2023
80238,12/24/2023,Negative,2023
80211,12/24/2023,Neutral,2023
80204,12/24/2023,Neutral,2023
80238,12/24/2023,Negative,2023
80204,12/24/2023,Positive,2023
80238,12/24/2023,Negative,2023
80219,12/24/2023,Neutral,2023
80016,12/24/2023,Positive,2023
80002,12/24/2023,Positive,2023
80014,12/24/2023,Positive,2023
80219,12/24/2023,Positive,2023
80221,12/24/2023,Negative,2023
80120,12/24/2023,Neutral,2023
80016,12/24/2023,Negative,2023
80219,12/24/2023,Positive,2023
80238,12/24/2023,Positive,2023
80219,12/24/2023,Positive,2023
80219,12/24/2023,Negative,2023
80016,12/24/2023,Positive,2023
80016,12/24/2023,Negative,2023
80219,12/24/2023,Neutral,2023
80238,12/24/2023,Positive,2023
80234,12/24/2023,Negative,2023
80016,12/24/2023,Positive,2023
80219,12/24/2023,Neutral,2023
80014,12/24/2023,Positive,2023
80234,12/24/2023,Positive,2023
80120,12/24/2023,Positive,2023
80120,12/24/2023,Positive,2023
80211,12/24/2023,Positive,2023
80120,12/24/2023,Positive,2023
80016,12/24/2023,Positive,2023
80211,12/24/2023,Positive,2023
80211,12/23/2023,Negative,2023
80234,12/23/2023,Positive,2023
80238,12/23/2023,Neutral,2023
80211,12/23/2023,Negative,2023
80120,12/23/2023,Positive,2023
80221,12/23/2023,Neutral,2023
80238,12/23/2023,Positive,2023
80221,12/23/2023,Negative,2023
80002,12/23/2023,Negative,2023
80016,12/23/2023,Negative,2023
80234,12/23/2023,Negative,2023
80234,12/23/2023,Positive,2023
80016,12/23/2023,Positive,2023
80211,12/23/2023,Negative,2023
80221,12/23/2023,Positive,2023
80014,12/23/2023,Neutral,2023
80120,12/23/2023,Positive,2023
80238,12/23/2023,Neutral,2023
80204,12/23/2023,Positive,2023
80014,12/23/2023,Positive,2023
80221,12/23/2023,Positive,2023
80120,12/23/2023,Positive,2023
80238,12/23/2023,Neutral,2023
80234,12/23/2023,Positive,2023
80234,12/23/2023,Positive,2023
80219,12/23/2023,Positive,2023
80219,12/23/2023,Negative,2023
80219,12/23/2023,Positive,2023
80002,12/23/2023,Negative,2023
80016,12/23/2023,Positive,2023
80120,12/23/2023,Neutral,2023
80204,12/23/2023,Positive,2023
80221,12/23/2023,Negative,2023
80016,12/23/2023,Negative,2023
80014,12/23/2023,Positive,2023
80221,12/23/2023,Neutral,2023
80211,12/23/2023,Positive,2023
80238,12/23/2023,Positive,2023
80204,12/23/2023,Positive,2023
80238,12/23/2023,Positive,2023
80014,12/23/2023,Positive,2023
80016,12/23/2023,Positive,2023
80238,12/23/2023,Neutral,2023
80219,12/23/2023,Neutral,2023
80002,12/23/2023,Positive,2023
80221,12/23/2023,Positive,2023
80238,12/22/2023,Positive,2023
80234,12/22/2023,Negative,2023
80120,12/22/2023,Positive,2023
80014,12/22/2023,Positive,2023
80221,12/22/2023,Positive,2023
80002,12/22/2023,Positive,2023
80014,12/22/2023,Neutral,2023
80016,12/22/2023,Negative,2023
80120,12/22/2023,Neutral,2023
80002,12/22/2023,Neutral,2023
80002,12/22/2023,Negative,2023
80014,12/22/2023,Positive,2023
80234,12/22/2023,Negative,2023
80238,12/22/2023,Positive,2023
80211,12/22/2023,Neutral,2023
80221,12/22/2023,Neutral,2023
80238,12/22/2023,Positive,2023
80221,12/22/2023,Positive,2023
80204,12/22/2023,Positive,2023
80238,12/22/2023,Positive,2023
80234,12/22/2023,Neutral,2023
80211,12/22/2023,Negative,2023
80016,12/22/2023,Positive,2023
80014,12/22/2023,Neutral,2023
80016,12/22/2023,Neutral,2023
80016,12/22/2023,Positive,2023
80016,12/22/2023,Positive,2023
80221,12/22/2023,Neutral,2023
80120,12/22/2023,Neutral,2023
80234,12/22/2023,Positive,2023
80219,12/22/2023,Negative,2023
80014,12/22/2023,Neutral,2023
80016,12/22/2023,Positive,2023
80120,12/22/2023,Positive,2023
80204,12/22/2023,Positive,2023
80238,12/22/2023,Negative,2023
80002,12/22/2023,Negative,2023
80002,12/22/2023,Neutral,2023
80221,12/22/2023,Positive,2023
80219,12/22/2023,Positive,2023
80016,12/22/2023,Positive,2023
80204,12/22/2023,Negative,2023
80014,12/22/2023,Neutral,2023
80014,12/22/2023,Negative,2023
80219,12/22/2023,Positive,2023
80204,12/22/2023,Neutral,2023
80221,12/22/2023,Positive,2023
80120,12/22/2023,Negative,2023
80234,12/22/2023,Positive,2023
80219,12/22/2023,Positive,2023
80211,12/22/2023,Positive,2023
80014,12/22/2023,Negative,2023
80120,12/22/2023,Positive,2023
80204,12/22/2023,Positive,2023
80016,12/22/2023,Positive,2023
80221,12/22/2023,Positive,2023
80219,12/21/2023,Positive,2023
80234,12/21/2023,Positive,2023
80016,12/21/2023,Neutral,2023
80204,12/21/2023,Neutral,2023
80234,12/21/2023,Positive,2023
80120,12/21/2023,Negative,2023
80234,12/21/2023,Positive,2023
80234,12/21/2023,Positive,2023
80002,12/21/2023,Negative,2023
80014,12/21/2023,Negative,2023
80120,12/21/2023,Positive,2023
80238,12/21/2023,Positive,2023
80204,12/21/2023,Neutral,2023
80002,12/21/2023,Positive,2023
80002,12/21/2023,Positive,2023
80221,12/21/2023,Positive,2023
80002,12/21/2023,Neutral,2023
80238,12/21/2023,Negative,2023
80238,12/21/2023,Positive,2023
80204,12/21/2023,Positive,2023
80204,12/21/2023,Neutral,2023
80238,12/21/2023,Neutral,2023
80204,12/21/2023,Negative,2023
80120,12/21/2023,Neutral,2023
80120,12/21/2023,Negative,2023
80014,12/21/2023,Positive,2023
80211,12/21/2023,Positive,2023
80221,12/21/2023,Positive,2023
80238,12/21/2023,Positive,2023
80238,12/21/2023,Negative,2023
80204,12/21/2023,Neutral,2023
80014,12/21/2023,Negative,2023
80219,12/21/2023,Positive,2023
80238,12/21/2023,Neutral,2023
80016,12/21/2023,Positive,2023
80016,12/21/2023,Negative,2023
80204,12/21/2023,Neutral,2023
80120,12/21/2023,Positive,2023
80211,12/21/2023,Neutral,2023
80016,12/21/2023,Positive,2023
80234,12/21/2023,Positive,2023
80014,12/21/2023,Positive,2023
80238,12/21/2023,Positive,2023
80211,12/21/2023,Neutral,2023
80204,12/21/2023,Negative,2023
80221,12/21/2023,Positive,2023
80016,12/21/2023,Neutral,2023
80016,12/21/2023,Neutral,2023
80211,12/21/2023,Positive,2023
80238,12/21/2023,Positive,2023
80002,12/21/2023,Positive,2023
80002,12/21/2023,Neutral,2023
80211,12/21/2023,Negative,2023
80234,12/20/2023,Positive,2023
80014,12/20/2023,Neutral,2023
80204,12/20/2023,Negative,2023
80234,12/20/2023,Negative,2023
80219,12/20/2023,Positive,2023
80211,12/20/2023,Positive,2023
80221,12/20/2023,Negative,2023
80120,12/20/2023,Positive,2023
80238,12/20/2023,Positive,2023
80219,12/20/2023,Positive,2023
80120,12/20/2023,Neutral,2023
80002,12/20/2023,Negative,2023
80234,12/20/2023,Neutral,2023
80238,12/20/2023,Positive,2023
80234,12/20/2023,Negative,2023
80234,12/20/2023,Positive,2023
80238,12/20/2023,Positive,2023
80016,12/20/2023,Positive,2023
80211,12/20/2023,Neutral,2023
80120,12/20/2023,Neutral,2023
80234,12/20/2023,Neutral,2023
80014,12/20/2023,Neutral,2023
80211,12/20/2023,Negative,2023
80120,12/20/2023,Positive,2023
80238,12/20/2023,Negative,2023
80234,12/20/2023,Neutral,2023
80014,12/20/2023,Neutral,2023
80014,12/20/2023,Positive,2023
80219,12/20/2023,Positive,2023
80219,12/20/2023,Positive,2023
80204,12/20/2023,Negative,2023
80219,12/20/2023,Positive,2023
80016,12/20/2023,Negative,2023
80014,12/20/2023,Positive,2023
80014,12/20/2023,Positive,2023
80120,12/20/2023,Positive,2023
80234,12/20/2023,Positive,2023
80016,12/20/2023,Neutral,2023
80221,12/20/2023,Negative,2023
80204,12/20/2023,Neutral,2023
80204,12/20/2023,Neutral,2023
80014,12/20/2023,Positive,2023
80014,12/20/2023,Negative,2023
80238,12/20/2023,Positive,2023
80204,12/20/2023,Neutral,2023
80014,12/20/2023,Negative,2023
80238,12/20/2023,Positive,2023
80204,12/20/2023,Negative,2023
80204,12/20/2023,Positive,2023
80211,12/20/2023,Neutral,2023
80014,12/20/2023,Neutral,2023
80016,12/20/2023,Positive,2023
80221,12/20/2023,Positive,2023
80234,12/20/2023,Positive,2023
80219,12/20/2023,Negative,2023
80234,12/20/2023,Positive,2023
80238,12/20/2023,Negative,2023
80120,12/19/2023,Negative,2023
80221,12/19/2023,Positive,2023
80002,12/19/2023,Negative,2023
80221,12/19/2023,Positive,2023
80221,12/19/2023,Negative,2023
80211,12/19/2023,Positive,2023
80234,12/19/2023,Negative,2023
80221,12/19/2023,Positive,2023
80016,12/19/2023,Positive,2023
80120,12/19/2023,Positive,2023
80238,12/19/2023,Negative,2023
80014,12/19/2023,Neutral,2023
80016,12/19/2023,Positive,2023
80014,12/19/2023,Negative,2023
80238,12/19/2023,Positive,2023
80221,12/19/2023,Positive,2023
80219,12/19/2023,Positive,2023
80120,12/19/2023,Negative,2023
80120,12/19/2023,Neutral,2023
80234,12/19/2023,Positive,2023
80204,12/19/2023,Negative,2023
80211,12/19/2023,Negative,2023
80002,12/19/2023,Negative,2023
80238,12/19/2023,Positive,2023
80211,12/19/2023,Negative,2023
80120,12/19/2023,Neutral,2023
80002,12/19/2023,Positive,2023
80219,12/19/2023,Neutral,2023
80016,12/19/2023,Positive,2023
80014,12/19/2023,Neutral,2023
80120,12/19/2023,Positive,2023
80002,12/19/2023,Positive,2023
80219,12/19/2023,Positive,2023
80238,12/19/2023,Neutral,2023
80221,12/19/2023,Negative,2023
80238,12/19/2023,Positive,2023
80219,12/19/2023,Neutral,2023
80204,12/19/2023,Negative,2023
80016,12/19/2023,Neutral,2023
80221,12/19/2023,Positive,2023
80221,12/19/2023,Negative,2023
80120,12/19/2023,Positive,2023
80211,12/19/2023,Positive,2023
80016,12/19/2023,Positive,2023
80238,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80002,12/18/2023,Positive,2023
80221,12/18/2023,Positive,2023
80120,12/18/2023,Neutral,2023
80120,12/18/2023,Negative,2023
80204,12/18/2023,Positive,2023
80221,12/18/2023,Negative,2023
80120,12/18/2023,Positive,2023
80211,12/18/2023,Neutral,2023
80221,12/18/2023,Positive,2023
80234,12/18/2023,Neutral,2023
80238,12/18/2023,Neutral,2023
80014,12/18/2023,Negative,2023
80234,12/18/2023,Negative,2023
80219,12/18/2023,Positive,2023
80120,12/18/2023,Neutral,2023
80016,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80120,12/18/2023,Neutral,2023
80002,12/18/2023,Negative,2023
80002,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80238,12/18/2023,Neutral,2023
80002,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80211,12/18/2023,Negative,2023
80204,12/18/2023,Positive,2023
80120,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80238,12/18/2023,Neutral,2023
80234,12/18/2023,Positive,2023
80234,12/18/2023,Positive,2023
80014,12/18/2023,Positive,2023
80120,12/18/2023,Positive,2023
80221,12/18/2023,Positive,2023
80219,12/18/2023,Positive,2023
80221,12/18/2023,Negative,2023
80014,12/18/2023,Positive,2023
80221,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80211,12/18/2023,Positive,2023
80221,12/18/2023,Negative,2023
80221,12/18/2023,Neutral,2023
80120,12/18/2023,Neutral,2023
80238,12/18/2023,Positive,2023
80016,12/18/2023,Positive,2023
80221,12/18/2023,Positive,2023
80211,12/18/2023,Positive,2023
80219,12/18/2023,Positive,2023
80211,12/18/2023,Neutral,2023
80016,12/18/2023,Positive,2023
80002,12/18/2023,Positive,2023
80204,12/18/2023,Negative,2023
80204,12/18/2023,Positive,2023
80211,12/18/2023,Neutral,2023
80211,12/18/2023,Positive,2023
80238,12/17/2023,Positive,2023
80120,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80238,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80002,12/17/2023,Neutral,2023
80238,12/17/2023,Positive,2023
80014,12/17/2023,Positive,2023
80219,12/17/2023,Negative,2023
80234,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80120,12/17/2023,Negative,2023
80234,12/17/2023,Negative,2023
80238,12/17/2023,Positive,2023
80014,12/17/2023,Neutral,2023
80234,12/17/2023,Positive,2023
80219,12/17/2023,Neutral,2023
80120,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80234,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80238,12/17/2023,Negative,2023
80014,12/17/2023,Positive,2023
80234,12/17/2023,Neutral,2023
80211,12/17/2023,Positive,2023
80120,12/17/2023,Positive,2023
80002,12/17/2023,Neutral,2023
80219,12/17/2023,Positive,2023
80016,12/17/2023,Positive,2023
80219,12/17/2023,Positive,2023
80002,12/17/2023,Positive,2023
80120,12/17/2023,Negative,2023
80016,12/17/2023,Positive,2023
80211,12/17/2023,Positive,2023
80002,12/17/2023,Neutral,2023
80120,12/17/2023,Neutral,2023
80221,12/17/2023,Negative,2023
80120,12/17/2023,Positive,2023
80211,12/17/2023,Neutral,2023
80120,12/17/2023,Positive,2023
80211,12/17/2023,Positive,2023
80204,12/17/2023,Positive,2023
80204,12/17/2023,Positive,2023
80204,12/17/2023,Positive,2023
80221,12/17/2023,Positive,2023
80204,12/17/2023,Neutral,2023
80014,12/17/2023,Neutral,2023
80234,12/17/2023,Positive,2023
80211,12/17/2023,Positive,2023
80204,12/16/2023,Positive,2023
80016,12/16/2023,Neutral,2023
80204,12/16/2023,Neutral,2023
80234,12/16/2023,Neutral,2023
80204,12/16/2023,Negative,2023
80211,12/16/2023,Neutral,2023
80238,12/16/2023,Positive,2023
80002,12/16/2023,Neutral,2023
80211,12/16/2023,Positive,2023
80221,12/16/2023,Neutral,2023
